Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,112.50694334838802,138.25186039280203,4.6767189283733215,2.9000000000000026e-2,3.888972455964227e-4,"cx0_1: 1.159e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q1,86.35605185149461,97.567136521375,4.78267939605396,2.849999999999997e-2,5.413492325680132e-4,"cx1_0: 1.159e-2, cx1_2: 1.811e-2, cx1_6: 1.183e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q2,92.08927509258841,109.88907160190288,4.685356567464417,5.699999999999994e-2,1.5870777091863838e-3,"cx2_1: 1.811e-2, cx2_3: 1.421e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q3,69.20325377528347,80.78669496616999,4.71693834719969,3.1500000000000083e-2,1.6444825793219989e-3,"cx3_2: 1.421e-2, cx3_4: 2.227e-2, cx3_8: 1.962e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q4,88.58328135531963,66.16380281203375,4.564588479937287,3.249999999999997e-2,2.927244324656808e-4,"cx4_3: 2.227e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q5,126.69607980502883,105.05960309061877,4.309182116575826,9.099999999999997e-2,3.2134092353891617e-4,"cx5_6: 3.229e-2, cx5_10: 1.151e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q6,94.13252834247392,76.4923404328215,4.662587729701908,3.849999999999998e-2,4.102771022501271e-4,"cx6_1: 1.183e-2, cx6_5: 3.229e-2, cx6_7: 1.096e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q7,73.12335789148798,50.740713115493676,4.830995403392466,2.7000000000000024e-2,4.604962724170355e-4,"cx7_6: 1.096e-2, cx7_8: 2.072e-2, cx7_12: 1.349e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q8,60.15869387673625,51.062780593885556,4.623107068466739,2.4499999999999966e-2,1.4624736959893679e-3,"cx8_3: 1.962e-2, cx8_7: 2.072e-2, cx8_9: 1.342e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q9,86.35329488452723,68.83931841939015,4.697700496391888,3.0000000000000027e-2,3.4430377194360063e-4,"cx9_8: 1.342e-2, cx9_14: 9.964e-3",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q10,66.91973535703212,115.12048136620642,4.4242126192561875,3.049999999999997e-2,3.784618418780728e-4,"cx10_5: 1.151e-2, cx10_11: 9.327e-3",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q11,87.96839909965023,94.85225939509513,4.521522965510305,3.649999999999998e-2,3.8646806973055434e-4,"cx11_10: 9.327e-3, cx11_12: 1.520e-2, cx11_16: 3.448e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q12,88.7947547426221,118.95008814169996,4.603509394761005,6.099999999999994e-2,1.6758888452494548e-3,"cx12_7: 1.349e-2, cx12_11: 1.520e-2, cx12_13: 2.839e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q13,61.28081732580561,66.79586050205707,4.624376194437313,3.699999999999992e-2,4.581300799703025e-3,"cx13_12: 2.839e-2, cx13_14: 4.068e-2, cx13_18: 1.885e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q14,58.513989612931326,99.94493689009325,4.757622661724196,2.7000000000000024e-2,3.5691329405309886e-4,"cx14_9: 9.964e-3, cx14_13: 4.068e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q15,98.28426459848929,173.1446138155246,4.488493910995645,4.049999999999998e-2,3.573693946100164e-4,"cx15_16: 2.627e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q16,62.34507207158278,10.640888626889833,4.73843926750454,1.100000000000001e-1,6.519266545694468e-4,"cx16_11: 3.448e-2, cx16_15: 2.627e-2, cx16_17: 1.000e+0",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q17,88.98631835044432,104.83469570026969,4.882581310354413,2.950000000000008e-2,4.152048105575946e-4,"cx17_16: 1.000e+0, cx17_18: 2.090e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q18,123.55817916134345,141.52065683655957,4.527683795518407,6.65e-2,3.896657658749785e-4,"cx18_13: 1.885e-2, cx18_17: 2.090e-2, cx18_19: 1.433e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
Q19,126.15073189028787,82.2356389332844,4.697659980275933,4.0000000000000036e-2,3.166239232084212e-4,"cx19_18: 1.433e-2",Mon May 04 2020 16:04:51 GMT+0300 (EEST)
